,Title,Released Year,Rotten Tomatoes Score,Cast,Director,Synopsis,Critics consensus
97,Dredd,2012,80%,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris",Pete Travis,"Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called... ","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."
98,The Bourne Identity,2002,84%,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen",Doug Liman,"The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he... ","Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some."
99,Ip Man,2008,86%,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam",Wilson Yip,"The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun.... ","At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years."
100,Face/Off,1997,92%,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",John Woo,"Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who... ","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."
101,To Live and Die in L.A.,1985,86%,"William Petersen, Willem Dafoe, John Pankow, Debra Feuer",William Friedkin,"When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows... ","With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller."
102,The Dark Knight,2008,94%,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Christopher Nolan,"With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has... ","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga."
103,Mission: Impossible - Ghost Protocol,2011,93%,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",Brad Bird,"Blamed for a terrorist attack on the Kremlin, Ethan Hunt (Tom Cruise) and the entire IMF agency are disavowed by... ","Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works."
104,Fast Five,2011,78%,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Justin Lin,Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of... ,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise."
105,Lethal Weapon,1987,80%,"Mel Gibson, Danny Glover, Gary Busey, Mitch Ryan",Richard Donner,"Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he... ","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."
106,The Rock,1996,67%,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn",Michael Bay,"FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John... ","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."
107,RoboCop,1987,91%,"Peter Weller, Nancy Allen, Ronny Cox, Dan O'Herlihy",Paul Verhoeven,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the... ","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
108,John Wick: Chapter 2,2017,89%,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",Chad Stahelski,Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows... ,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
